code,name,gender,function,organisation_long
2009154,TANTASHEV Ilgiz,Male,Referee,Uzbekistan
2009168,NABADDA Shamirah,Female,Referee,Uganda
2288825,SHAHRIYARI Paria,Female,Referee,Islamic Republic of Iran
3521177,OOMMEN George,Male,Referee,Great Britain
1994151,GUILLEMOT Vincent,Male,Referee,International Handball Federation
1994152,LEFORT Yohan,Male,Referee,International Handball Federation
1994153,CASTAGNO Frederic,Male,Referee,International Handball Federation
1994154,GRUMEL Nicolas,Male,Referee,International Handball Federation
1994155,RICHEL Marie,Female,Referee,International Handball Federation
1994156,VINCENT Tatiana,Female,Referee,International Handball Federation
1994157,PRUDHOMME Eddy,Male,Referee,International Handball Federation
1994158,LAMY Jacques,Male,Referee,International Handball Federation
1994159,RENAULT Romain,Male,Referee,International Handball Federation
1994160,de la CROIX Marie Laure,Female,Referee,International Handball Federation
1994161,NOUVEL Jerome,Male,Referee,International Handball Federation
1994162,BENRHAZAL Mohamed,Male,Referee,International Handball Federation
1994163,SMITS Nathalie,Female,Referee,International Handball Federation
1994164,CARON Christophe,Male,Referee,International Handball Federation
1994165,FERRIER Eduardo,Male,Referee,International Handball Federation
1994166,EL MEDIOUNI Najet,Female,Referee,International Handball Federation
1994167,VAILLANT Patrice,Male,Referee,International Handball Federation
1994168,CALLIGARIS Laurent,Male,Referee,International Handball Federation
1994169,CALLIGARIS Florian,Male,Referee,International Handball Federation
1994170,VERCHERE Thomas,Male,Referee,International Handball Federation
1994171,THOMAZO Alann,Male,Referee,International Handball Federation
1994172,LEIDWANGER Stephane,Male,Referee,International Handball Federation
1994173,BOBIN Thierry,Male,Referee,International Handball Federation
1994174,SOBOLEWSKI Detlef,Male,Referee,International Handball Federation
1994175,VERNET Gauthier,Male,Referee,International Handball Federation
1994177,DAVID Audrey,Female,Referee,International Handball Federation
1994178,PICARD Sylvie,Female,Referee,International Handball Federation
1994179,GRALL LEMAITRE Flore,Female,Referee,International Handball Federation
1994180,ALMEIDA Manuel,Male,Referee,International Handball Federation
1994181,COQUIN Johann,Male,Referee,International Handball Federation
1994182,GANDON Maxime,Male,Referee,International Handball Federation
1994183,CAPLIEZ Virginie,Female,Referee,International Handball Federation
2844406,MULLER-THYSSEN Maria,Male,Referee,Spain
2844513,JORUM Lars,Male,Referee,Norway
2844649,SALAH Morad,Male,Referee,Switzerland
2844759,KURTAGIC Mirza,Male,Referee,Sweden
3047340,PAVICEVIC Ivan,Male,Referee,Montenegro
3047342,BELKHIRI Youcef,Male,Referee,Algeria
3047343,HAMIDI Sidali,Male,Referee,Algeria
3047344,PAOLANTONI Maria Ines,Female,Referee,Argentina
3047345,GARCIA Mariana,Female,Referee,Argentina
3047346,KONJICANIN Dino,Male,Referee,Bosnia and Herzegovina
3047347,KONJICANIN Amar,Male,Referee,Bosnia and Herzegovina
3047348,HORACEK Vaclav,Male,Referee,Czechia
3047349,NOVOTNY Jiri,Male,Referee,Czechia
3047350,HANSEN Mads,Male,Referee,Denmark
3047351,MADSEN Jesper,Male,Referee,Denmark
3047352,MARIN LORENTE Andreu,Male,Referee,Spain
3047353,GARCIA Ignacio,Male,Referee,Spain
3047354,BONAVENTURA Julie,Female,Referee,France
3047355,BONAVENTURA Charlotte,Female,Referee,France
3047356,SCHULZE Robert,Male,Referee,Germany
3047357,TOENNIES Tobias,Male,Referee,Germany
3047358,MERZ Maike,Female,Referee,Germany
3047359,KUTTLER Tanja,Female,Referee,Germany
3047360,BIRO Adam,Male,Referee,Hungary
3047361,KISS Oliver,Male,Referee,Hungary
3047362,NACHEVSKI Gjorgji,Male,Referee,North Macedonia
3047363,NIKOLOV Slave,Male,Referee,North Macedonia
3047364,RAZNATOVIC Milos,Male,Referee,Montenegro
3047365,KLEVEN Havard,Male,Referee,Norway
3047366,LAH Bojan,Male,Referee,Slovenia
3047367,SOK David,Male,Referee,Slovenia
3047368,BRUNNER Arthur,Male,Referee,Switzerland
3047369,WETTERWIK Mattias,Male,Referee,Sweden
1937992,NEUMANN Aleisha,Female,Umpire,Australia
1937993,KEOGH Alison,Female,Umpire,Ireland
1937994,CHURCH Amber,Female,Umpire,New Zealand
1937996,McCLEAN Ayanna,Female,Umpire,Trinidad and Tobago
1938000,TAN Cookie,Female,Umpire,Singapore
1938001,BARSTOW Daniel,Male,Umpire,Great Britain
1938002,TOMLINSON David,Male,Umpire,New Zealand
1938004,YAMADA Emi,Female,Umpire,Japan
1938006,LABATE Gabriel,Male,Umpire,Argentina
1938007,GREENFIELD Gareth,Male,Umpire,New Zealand
1938008,HARRISON Hannah,Female,Umpire,Great Britain
1938009,LIM Hong Zhen,Male,Umpire,Singapore
1938010,PRESENQUI Irene,Female,Umpire,Argentina
1938014,VAN'T HEK Jonas,Male,Umpire,Netherlands
1938015,van BUNGE Coen,Male,Umpire,Netherlands
1938016,DELFORGE Laurine,Female,Umpire,Belgium
1938019,GROCHAL Marcin,Male,Umpire,Poland
1938022,MADDEN Martin,Male,Umpire,Great Britain
1938024,WILLIAMS Rachel,Female,Umpire,Great Britain
1938030,WILSON Sarah,Female,Umpire,Great Britain
1938032,ROGERS Steve,Male,Umpire,Australia
1942353,VENTER Wanri,Female,Umpire,South Africa
1943476,RAPAPORT Sean,Male,Umpire,South Africa
1948013,ROSTRON Annelize,Female,Umpire,South Africa
1948034,PRASAD Raghu,Male,Umpire,India
2492445,NEWMAN Zeke,Male,Umpire,Australia
